Name,Skill
User_0,Machine Learning
User_1,Data Science
User_2,Machine Learning
User_3,Cloud Computing
User_4,Blockchain
User_5,Cybersecurity
User_6,Artificial Intelligence
User_7,Artificial Intelligence
User_8,Cybersecurity
User_9,Data Science
User_10,Cloud Computing
User_11,Machine Learning
User_12,Machine Learning
User_13,Artificial Intelligence
User_14,Machine Learning
User_15,Artificial Intelligence
User_16,Cloud Computing
User_17,Cybersecurity
User_18,Artificial Intelligence
User_19,Machine Learning
